date,GHI,Avg Zenith Angle [degrees],Avg Airmass,Avg Tower Dry Bulb Temp [deg C]
1/1/2018 8:00,29.8322,89.28,19.944,-10.7312
1/1/2018 9:00,122.9278,80.0757,5.9575,-8.322
1/1/2018 10:00,172.2435,72.289,3.2967,-8.1452
1/1/2018 11:00,456.3948,66.4979,2.5029,-6.5416
1/1/2018 12:00,519.2428,63.2968,2.2179,-4.6852
1/1/2018 13:00,497.1556,63.0923,2.2021,-4.0228
1/1/2018 14:00,482.0555,65.9126,2.4448,-2.1194
1/1/2018 15:00,411.7615,71.3925,3.1399,0.1246
1/1/2018 16:00,189.7499,78.9512,5.3229,-0.1681
1/1/2018 17:00,40.4665,87.9653,21.2667,-2.5103
1/2/2018 8:00,23.9143,89.2939,18.9337,-7.3615
1/2/2018 9:00,164.9009,80.0734,5.9576,-4.8769
1/2/2018 10:00,327.5271,72.2655,3.2927,-1.9441
1/2/2018 11:00,448.9563,66.4492,2.4982,-0.1091
1/2/2018 12:00,517.2462,63.2214,2.2122,2.4822
1/2/2018 13:00,520.3071,62.9923,2.1946,4.2477
1/2/2018 14:00,459.9126,65.7939,2.4336,5.8744
1/2/2018 15:00,343.0701,71.2618,3.1186,6.361
1/2/2018 16:00,186.8439,78.8147,5.2564,5.5254
1/2/2018 17:00,30.7757,87.831,20.6116,3.7132
1/3/2018 8:00,23.7844,89.3106,19.1307,1.4918
1/3/2018 9:00,161.884,80.0646,5.9538,3.7757
1/3/2018 10:00,317.7007,72.235,3.2875,6.8562
1/3/2018 11:00,442.847,66.3932,2.4927,9.0643
1/3/2018 12:00,531.3312,63.1385,2.2059,9.2927
1/3/2018 13:00,236.0048,62.8852,2.1866,8.8995
1/3/2018 14:00,435.7229,65.6685,2.4218,10.3123
1/3/2018 15:00,443.1063,71.1252,3.0967,10.9988
1/3/2018 16:00,206.7898,78.673,5.1893,9.0573
1/3/2018 17:00,51.1761,87.684,20.8527,6.4783
1/4/2018 8:00,22.511,89.3128,19.1417,0.8824
1/4/2018 9:00,160.5073,80.0493,5.946,2.9259
1/4/2018 10:00,319.3082,72.1975,3.2811,5.7939
1/4/2018 11:00,441.3481,66.3299,2.4865,7.6106
1/4/2018 12:00,508.4183,63.0483,2.1992,7.9414
1/4/2018 13:00,512.9091,62.7709,2.1782,8.5053
1/4/2018 14:00,456.0151,65.5365,2.4096,9.3147
1/4/2018 15:00,342.0614,70.9828,3.0743,9.6098
1/4/2018 16:00,189.2118,78.5263,5.1216,9.6235
1/4/2018 17:00,32.2419,87.5328,21.0717,7.7095
1/5/2018 8:00,23.5161,89.3091,19.1243,5.9302
1/5/2018 9:00,141.6478,80.0275,5.9343,7.9214
1/5/2018 10:00,181.4609,72.1531,3.2734,11.0727
1/5/2018 11:00,160.6452,66.2593,2.4797,10.9265
1/5/2018 12:00,241.5711,62.9506,2.1919,11.1613
1/5/2018 13:00,178.8782,62.6494,2.1693,12.094
1/5/2018 14:00,138.0415,65.3979,2.3969,12.1067
1/5/2018 15:00,200.8394,70.8346,3.0513,13.7488
1/5/2018 16:00,143.1838,78.3747,5.0536,13.354
1/5/2018 17:00,17.5716,87.3776,21.2694,12.1983
1/6/2018 8:00,9.6432,89.2994,19.0787,4.0694
1/6/2018 9:00,87.1026,79.9992,5.9186,3.2589
1/6/2018 10:00,238.0914,72.1017,3.2646,5.5706
1/6/2018 11:00,278.9917,66.1815,2.4722,6.684
1/6/2018 12:00,429.8127,62.8456,2.1842,8.8223
